教5.日間學制生師比-以「校」統計,,,,,,,
學年度,設立別,學校類別,學校統計處代碼,學校名稱,日間學制學生數,日間專任教師(含助教),日間生師比(%)
106,私立,技專校院,1292,新生醫護管理專科學校,5937,212,28
106,私立,宗教研修學院,1R02,學校財團法人中華浸信會基督教台灣浸會神學院,27,10,2.70
106,私立,宗教研修學院,1R03,臺北基督學院,116,12,9.67
106,私立,宗教研修學院,1R04,財團法人一貫道天皇基金會一貫道天皇學院,72,9,8
106,私立,宗教研修學院,1R05,台神學校財團法人台灣神學研究學院,54,14,3.86
106,私立,宗教研修學院,1R06,一貫道崇德學院,28,5,5.60
106,公立,一般大學,3002,臺北市立大學,6697,331,20.23
107,公立,一般大學,0001,國立政治大學,14593,707,20.64
107,公立,一般大學,0002,國立清華大學,15436,822,18.78
107,公立,一般大學,0003,國立臺灣大學,30260,2043,14.81
107,公立,一般大學,0004,國立臺灣師範大學,13540,839,16.14
107,公立,一般大學,0005,國立成功大學,19890,1325,15.01
107,公立,一般大學,0006,國立中興大學,12432,775,16.04
107,公立,一般大學,0007,國立交通大學,12738,735,17.33
107,公立,一般大學,0008,國立中央大學,10612,645,16.45
107,公立,一般大學,0009,國立中山大學,8400,522,16.09
107,公立,一般大學,0012,國立臺灣海洋大學,7486,416,18
107,公立,一般大學,0013,國立中正大學,9978,548,18.21
107,公立,一般大學,0014,國立高雄師範大學,5326,289,18.43
107,公立,一般大學,0015,國立彰化師範大學,6947,369,18.83
107,公立,一般大學,0016,國立陽明大學,4193,407,10.30
107,公立,一般大學,0017,國立臺北大學,7349,379,19.39
107,公立,一般大學,0018,國立嘉義大學,9173,515,17.81
107,公立,一般大學,0019,國立高雄大學,4937,237,20.83
107,公立,一般大學,0020,國立東華大學,9407,477,19.72
107,公立,一般大學,0021,國立暨南國際大學,5771,269,21.45
107,公立,技專校院,0022,國立臺灣科技大學,10331,497,20.79
107,公立,技專校院,0023,國立雲林科技大學,8932,409,21.84
107,公立,技專校院,0024,國立屏東科技大學,9247,408,22.66
107,公立,技專校院,0025,國立臺北科技大學,9613,469,20.50
107,公立,一般大學,0028,國立臺北藝術大學,2903,163,17.81
107,公立,一般大學,0029,國立臺灣藝術大學,3310,167,19.82
107,公立,一般大學,0030,國立臺東大學,3854,194,19.87
107,公立,一般大學,0031,國立宜蘭大學,4876,232,21.02
107,公立,一般大學,0032,國立聯合大學,6372,284,22.44
107,公立,技專校院,0033,國立虎尾科技大學,8322,335,24.84
107,公立,一般大學,0035,國立臺南藝術大學,1513,108,14.01
107,公立,一般大學,0036,國立臺南大學,4940,235,21.02
107,公立,一般大學,0037,國立臺北教育大學,4877,235,20.75
107,公立,一般大學,0039,國立臺中教育大學,4212,203,20.75
107,公立,技專校院,0042,國立澎湖科技大學,2698,120,22.48
107,公立,技專校院,0043,國立勤益科技大學,7322,287,25.51
107,公立,一般大學,0044,國立體育大學,2176,98,22.20
107,公立,技專校院,0046,國立臺北護理健康大學,4330,188,23.03
107,公立,技專校院,0047,國立高雄餐旅大學,3691,161,22.93
107,公立,一般大學,0048,國立金門大學,3360,145,23.17
107,公立,一般大學,0049,國立臺灣體育運動大學,2630,113,23.27
107,公立,技專校院,0050,國立臺中科技大學,10785,416,25.93
107,公立,技專校院,0051,國立臺北商業大學,5257,213,24.68
107,公立,一般大學,0052,國立屏東大學,7666,341,22.48
107,公立,技專校院,0053,國立高雄科技大學,21502,864,24.89
107,公立,技專校院,0144,國立臺灣戲曲學院,568,35,16.23
107,公立,技專校院,0221,國立臺南護理專科學校,1905,88,21.65
107,公立,技專校院,0222,國立臺東專科學校,1085,66,16.44
107,私立,一般大學,1001,東海大學,14756,544,27.13
107,私立,一般大學,1002,輔仁大學,20266,732,27.69
107,私立,一般大學,1003,東吳大學,13419,442,30.36
107,私立,一般大學,1004,中原大學,15320,496,30.89
107,私立,一般大學,1005,淡江大學,22694,738,30.75
107,私立,一般大學,1006,中國文化大學,22969,727,31.59
107,私立,一般大學,1007,逢甲大學,18860,653,28.88
107,私立,一般大學,1008,靜宜大學,11781,374,31.50
107,私立,一般大學,1009,長庚大學,6853,586,11.69
107,私立,一般大學,1010,元智大學,8238,312,26.40
107,私立,一般大學,1011,中華大學,5624,234,24.03
107,私立,一般大學,1012,大葉大學,8823,314,28.10
107,私立,一般大學,1013,華梵大學,1721,95,18.12
107,私立,一般大學,1014,義守大學,13095,502,26.09
107,私立,一般大學,1015,世新大學,10380,336,30.89
107,私立,一般大學,1016,銘傳大學,18147,573,31.67
107,私立,一般大學,1017,實踐大學,11663,371,31.44
107,私立,技專校院,1018,朝陽科技大學,12194,401,30.41
107,私立,一般大學,1019,高雄醫學大學,6532,558,11.71
107,私立,一般大學,1020,南華大學,5181,203,25.52
107,私立,一般大學,1021,真理大學,5965,267,22.34
107,私立,一般大學,1022,大同大學,4158,158,26.32
107,私立,技專校院,1023,南臺學校財團法人南臺科技大學,13887,554,25.07
107,私立,技專校院,1024,崑山科技大學,8184,336,24.36
107,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,11322,454,24.94
107,私立,技專校院,1026,樹德科技大學,8165,278,29.37
107,私立,一般大學,1027,慈濟學校財團法人慈濟大學,3405,240,14.19
