學年度,設立別,學校類別,學校統計處代碼,學校名稱,縣市別,校舍總樓地板面積,校地面積總計,可使用校地小計,可使用校地校舍基地,可使用校地露天運動場地,可使用校地其他校地,無法使用校地
107,私立,宗教研修學院,1R07,台灣基督長老教會南神神學院,臺南市,11454,28149,28149,28149,0,0,0
107,公立,一般大學,3002,臺北市立大學,臺北市,231960,1319332,1319332,34182,1223472,61678,0
 ,,,,,,,,,,,,
統計說明,,,,,,,,,,,,
一、學年度：係指【學年度】為篩選條件。,,,,,,,,,,,,
二、設立別：係指【公立、私立】大學校院等分類。,,,,,,,,,,,,
三、學校類別：係指【一般大學、技專校院、宗教研修學院】等。,,,,,,,,,,,,
四、學校名稱：係指【學校校名】。,,,,,,,,,,,,
五、縣市別：	係指宿舍位處之所屬縣市別。,,,,,,,,,,,,
六、校舍總樓地板面積：  包括普通教室、特別教室、實習工場及實驗室、教師研究室、學生研究室、辦公室、會議室、禮堂、圖書館、體育館(含學生活動中心)、餐廳、學生宿舍、單身教職員宿舍、有眷教職員宿舍、其他等。,,,,,,,,,,,,
七、校地面積總計：,,,,,,,,,,,,
1.  係指【可使用校地、無法使用校地】面積，並以現有使用面積列計，包括租借入者，不包括租借出者。,,,,,,,,,,,,
(1) 可使用校地：係指可使用校地之面積應等於校舍佔地面積(指建築物之地基)、運動場地(以露天者為限)、其他校地(花圃、空地、道路、未興建之空地，露天停車場等)之面積相加。,,,,,,,,,,,,
(2) 無法使用校地：係指山坡地….等。,,,,,,,,,,,,
2.  本表資料不包括學校附設醫院、農林畜牧作業組織(例如附設醫院、附設農場、附設林場)之場地及建築。,,,,,,,,,,,,
3.  本統計以「平方公尺」為統計單位。,,,,,,,,,,,,
資料來源：資料由【教育部高教司大學校院校務資料庫】之「校2. 校地校舍面積明細表」、【教育部技職司技專校院校務資料庫】之「表8-5校地校舍面積統計表」產出，並由【教育部統計處】彙整提供，以每年10月15日為統計基準日。,,,,,,,,,,,,
