年度,設立別,學校類別,學校統計處代碼,學校名稱,專任教師數,全校總經費(單位：元),學校承接計畫經費(單位：元)-小計,學校承接計畫經費(單位：元)-政府部門資助,學校承接計畫經費(單位：元)-企業部門資助,學校承接計畫經費(單位：元)-其他單位資助,承接計畫總經費佔全校總經費比率(%),專任教師每師平均承接計畫總經費(單位：元)
105,私立,一般大學,1002,輔仁大學,712,4066929135,256759708,214209936,6782705,35767067,6.31,360617.57
105,私立,一般大學,1003,東吳大學,442,2223874618,191960454,165388566,11927262,14644626,8.63,434299.67
105,私立,一般大學,1004,中原大學,505,3008417025,685899823,509824699,114386101,61689023,22.80,1358217.47
105,私立,一般大學,1005,淡江大學,796,3702530232,526841780,461526300,46294192,19021288,14.23,661861.53
105,私立,一般大學,1006,中國文化大學,757,3743429163,209832955,186820699,14826578,8185678,5.61,277190.17
105,私立,一般大學,1007,逢甲大學,657,3848547716,1046949869,931327621,73949810,41672438,27.20,1593531
105,私立,一般大學,1008,靜宜大學,374,1734694578,337342278,304392246,31376649,1573383,19.45,901984.70
105,私立,一般大學,1009,長庚大學,619,3946661606,865162133,657373207,192777831,15011095,21.92,1397677.11
105,私立,一般大學,1010,元智大學,318,1861249653,385130515,325721470,28287808,31121237,20.69,1211102.25
105,私立,一般大學,1011,中華大學,278,1227912977,124061112,94248150,22304139,7508823,10.10,446262.99
105,私立,一般大學,1012,大葉大學,338,1705869267,258879205,227794068,24464757,6620380,15.18,765914.81
105,私立,一般大學,1013,華梵大學,120,479897590,22475766,20995066,1420700,60000,4.68,187298.05
105,私立,一般大學,1014,義守大學,501,2605840299,366216130,256103594,58492234,51620302,14.05,730970.32
105,私立,一般大學,1015,世新大學,319,1881916621,288788437,258093180,15407680,15287577,15.35,905292.91
105,私立,一般大學,1016,銘傳大學,593,2767599072,192510320,175313575,11278875,5917870,6.96,324637.98
105,私立,一般大學,1017,實踐大學,410,1905371595,166390858,154226732,7817038,4347088,8.73,405831.36
105,私立,技專校院,1018,朝陽科技大學,407,2310666655,328099625,244086990,56085849,27926786,14.20,806141.58
105,私立,一般大學,1019,高雄醫學大學,563,2950911217,780852772,599180565,161855877,19816330,26.46,1386949.86
105,私立,一般大學,1020,南華大學,225,1921729053,65272384,63317728,1954656,0,3.40,290099.48
105,私立,一般大學,1021,真理大學,294,931404879,41266138,41266138,0,0,4.43,140361.01
105,私立,一般大學,1022,大同大學,176,807099788,163423421,136593515,22045506,4784400,20.25,928542.16
105,私立,技專校院,1023,南臺學校財團法人南臺科技大學,576,3035482295,598537625,437209776,117847208,43480641,19.72,1039127.82
105,私立,技專校院,1024,崑山科技大學,376,1767797774,417320596,366653185,36915740,13751671,23.61,1109895.20
105,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,493,2064405697,210873752,158060525,51776850,1036377,10.21,427735.81
105,私立,技專校院,1026,樹德科技大學,282,1462750893,185210392,166463974,14813285,3933133,12.66,656774.44
105,私立,一般大學,1027,慈濟學校財團法人慈濟大學,257,1407859048,355176948,130099696,4857862,220219390,25.23,1382011.47
105,私立,一般大學,1028,臺北醫學大學,580,3616058789,1072400809,901775064,146025364,24600381,29.66,1848966.91
105,私立,一般大學,1029,中山醫學大學,417,1815980648,414048871,264028784,33443820,116576267,22.80,992922.95
105,私立,技專校院,1030,龍華科技大學,244,1286874687,223249125,187519469,25305106,10424550,17.35,914955.43
105,私立,技專校院,1031,輔英科技大學,340,1234896126,107950910,98225380,2559174,7166356,8.74,317502.68
105,私立,技專校院,1032,明新學校財團法人明新科技大學,375,1353694409,109532035,87147488,17144498,5240049,8.09,292085.43
105,私立,一般大學,1033,長榮大學,343,1324076232,136092834,100062745,16412563,19617526,10.28,396772.11
105,私立,技專校院,1034,弘光科技大學,328,1638733333,313465176,239189215,68857032,5418929,19.13,955686.51
105,私立,一般大學,1035,中國醫藥大學,508,4032740370,995739434,520981899,458179094,16578441,24.69,1960117
105,私立,技專校院,1036,健行學校財團法人健行科技大學,325,1308637419,139400973,118944264,11553509,8903200,10.65,428926.07
105,私立,技專校院,1037,正修學校財團法人正修科技大學,440,2209844176,461995808,267737985,166153725,28104098,20.91,1049990.47
105,私立,技專校院,1038,萬能學校財團法人萬能科技大學,249,1198237394,51991993,36631583,12231410,3129000,4.34,208803.18
105,私立,一般大學,1039,玄奘大學,158,695035775,104577374,98750012,3301490,2525872,15.05,661882.11
105,私立,技專校院,1040,建國科技大學,275,934029581,90641229,71752815,13987169,4901245,9.70,329604.47
105,私立,技專校院,1041,明志科技大學,197,1983795246,216319033,157269241,56181456,2868336,10.90,1098066.16
105,私立,技專校院,1042,高苑科技大學,269,907962944,172485408,160769043,8064160,3652205,19,641209.70
105,私立,技專校院,1043,大仁科技大學,271,917985340,113670785,94388651,14693046,4589088,12.38,419449.39
